SEASON_1,PLAYER_ID,HOME_TEAM,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT,TIME_REMAINING
2021,203944,False,False,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,Less Than 8 ft.,-0.35,6.245,5,3,1,11,791
2021,203944,False,True,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center,Less Than 8 ft.,0.16,6.005,2,3,2,29,869
2021,203944,False,True,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,24+ ft.,-2.42,5.925,24,3,2,48,888
2021,1629628,False,False,Driving Finger Roll Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,Less Than 8 ft.,0.35,6.005,4,3,3,20,920
2021,203493,False,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,24+ ft.,-0.77,8.465,27,3,3,47,947
2021,1629628,False,True,Tip Layup Shot,2PT Field Goal,Restricted Area,Center,Less Than 8 ft.,-0.0,5.775,0,3,4,12,972
2021,203944,False,False,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side,8-16 ft.,1.05,6.265000000000001,11,3,4,17,977
2021,203493,False,True,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,24+ ft.,2.31,6.325,23,3,5,18,1038
2021,203457,False,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side,8-16 ft.,0.92,6.005,9,3,5,49,1069
2021,203944,False,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,24+ ft.,1.7899999999999998,7.795,26,3,7,11,1151
2021,203901,False,False,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,Less Than 8 ft.,0.62,6.155,7,3,7,40,1180
2021,203901,False,True,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side,8-16 ft.,0.71,6.265000000000001,8,3,8,13,1213
2021,203944,False,True,Running Layup Shot,2PT Field Goal,Restricted Area,Center,Less Than 8 ft.,0.2,6.055,3,3,8,43,1243
2021,203901,False,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,24+ ft.,1.03,8.395,28,3,9,5,1265
2021,1629628,False,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,8-16 ft.,-0.44,7.055,13,3,9,29,1289
2021,203944,False,True,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center,16-24 ft.,-1.38,6.845,17,3,9,52,1312
2021,203901,False,False,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,Less Than 8 ft.,-0.27,6.195,4,3,9,55,1315
2021,203457,False,False,Layup Shot,2PT Field Goal,Restricted Area,Center,Less Than 8 ft.,0.08,5.895,1,3,11,5,1385
2021,203457,False,True,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center,Less Than 8 ft.,-0.18,6.105,3,3,10,23,1343
2021,203944,False,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,24+ ft.,1.33,8.085,26,2,0,1,1441
2021,203944,False,True,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center,24+ ft.,-1.11,8.065,25,2,0,32,1472
2021,1629628,False,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,24+ ft.,1.81,7.745,26,2,0,44,1484
2021,1629628,False,True,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,24+ ft.,2.35,5.815,23,2,1,7,1507
